alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
jacobi-2d,-D TSTEPS=500 -D N=1300,845281767,27655,423067709,13608,844624651,423081317,28834,6737268,0,6703028,15142,2094687775,210656772,212244561,210836756,6852,1695525762,1687100951,1298760,1305234,1694223050,106902987741,106073430839,18571215941,45512895140,3375076580,1696750011,0,25458428432,54544897151,50655534329,51500816096,2305344547,2094687775,210656772,54307887633,46277,54307915288,59885,1869387447,105808731384,2292468764,2094747660,210656772,11793249997,0,18571215941,18571215941,18571215941,0,0,54571446909,16615.110000
jacobi-2d,-D TSTEPS=555 -D N=1466,1190733880,46837,595774863,21360,1192189951,595796223,52002,9848512,0,9491405,20842,2845292250,297689482,297968259,297827964,13379,2391080541,2380698702,1626245,1640542,2389441951,151253406376,149829915195,26175783584,64130674714,4769362692,2401733664,0,36510636263,77721274797,71791635764,72982369644,3142981732,2845292250,297689482,77374753650,63779,77374800487,85139,2528456776,150357170131,3124252999,2845377389,297689482,16690432761,0,26175783584,26175783584,26175783584,0,0,77709782889,23696.862000
jacobi-2d,-D TSTEPS=611 -D N=1633,1628837538,51511,814831383,25382,1629149273,814856765,71112,13189798,0,12929448,24754,4014725077,406507624,407849807,407006958,14527,3263892424,3253320307,1992828,2020774,3261871032,206297466260,204537609413,35794527265,87761956104,6502888465,3269447263,0,48983056733,105384379094,97903895580,99532733118,4421232701,4014725077,406507624,104801836030,80489,104801887541,105871,3607156974,204334620659,4422013739,4014830948,406507624,22865175374,0,35794527265,35794527265,35794527265,0,0,105271426878,32059.529000
jacobi-2d,-D TSTEPS=666 -D N=1800,2154873133,66570,1080119246,32275,2157061995,1080151521,77466,17310913,0,17117993,30904,5325851979,538703085,541587692,538563829,17801,4323616941,4310974428,2396567,2404835,4321213214,273341432341,271245394007,47461697776,116377077109,8620968921,4334240958,0,64671912329,139281823361,129610632074,131765505207,5864555064,5325851979,538703085,138665882285,105105,138665948855,137380,4796516790,270431454062,5876668311,5325989359,538703085,30263083379,0,47461697776,47461697776,47461697776,0,0,139243774076,42385.714000
jacobi-2d,-D TSTEPS=722 -D N=1966,2787761110,81887,1394389006,38063,2784800846,1394427069,92343,22393058,0,22160310,37503,6941777289,698002027,697145095,697281974,24090,5599219976,5574439265,2837330,2851221,5596368500,354119327271,350847150308,61338121428,150247326421,11151604379,5603493257,0,84734736760,181255870015,167581081076,170368842186,7639779316,6941777289,698002027,180366717676,140954,180366799563,179017,6221150594,350735641749,7615577663,6941956306,698002027,39101868804,1215,61338121428,61338121428,61338121428,0,0,181168288785,55162.644000
jacobi-2d,-D TSTEPS=777 -D N=2133,3534984128,106297,1772751646,49846,3533181274,1772801492,135547,28503541,0,28094610,48433,8623806934,883531192,889732257,883069235,33722,7102710865,7071757690,3314011,3365492,7099346035,448314773287,444175609631,77641954682,190311791570,14118594995,7087153096,0,106963765394,229042505197,211982369120,215517353248,9507338126,8623806934,883531192,227856099940,172961,227856206237,222807,7723924725,443373559485,9496726217,8624029741,883531192,49523814787,0,77641954682,77641954682,77641954682,0,0,228935215167,69711.236000
jacobi-2d,-D TSTEPS=833 -D N=2300,4409162615,129033,2206147087,77991,4408331313,2206225078,137589,35864644,0,35093863,65841,10821699677,1099993387,1106034810,1100190268,45308,8823029882,8797217479,3829299,3845957,8819185166,558651364110,554019847647,96919143017,237625583339,17609683559,8848439499,0,135114231066,287183442709,264619909651,269029072266,11921693064,10821699677,1099993387,285619236593,204358,285619365626,282349,9692179749,554648437892,11898404827,10821982026,1099993387,61778534043,0,96919143017,96919143017,96919143017,0,0,287212381299,87413.586000
jacobi-2d,-D TSTEPS=888 -D N=2466,5389311286,162624,2703469460,79818,5397958656,2703549278,181914,44121075,0,43001843,73680,13121992349,1348780231,1354329895,1349219383,48293,10837340217,10788639257,4374358,4403945,10832932904,685138304366,679230579730,118766783098,291007729383,21567417717,10829957096,0,164476405125,351109462737,325045423458,330434734744,14470772580,13121992349,1348780231,349411918591,257765,349412081215,337583,11771809146,679846815959,14475358424,13122329932,1348780231,75690718047,0,118766783098,118766783098,118766783098,0,0,350999863996,106876.215000
jacobi-2d,-D TSTEPS=944 -D N=2633,6546846606,187444,3276461480,84621,6549560080,3276546101,214121,53505907,0,52094221,89210,15915905054,1636736183,1640092936,1636453165,58983,13126321203,13082716535,4970976,5037801,13121281895,830122009145,823041287360,143913501615,352568330269,26160998459,13156196982,0,198681071798,424999772343,393371746684,399918593290,17552641237,15915905054,1636736183,422701518218,304983,422701705662,389604,14240760961,822620298952,17517307062,15916294658,1636736183,91778099301,0,143913501615,143913501615,143913501615,0,0,424671225809,129261.014000
jacobi-2d,-D TSTEPS=1000 -D N=2800,7838986336,215965,3926938318,119160,7842237081,3927057478,236474,63951373,0,62377252,102651,19307259374,1961097942,1967778833,1959278645,67921,15712454117,15674263278,5598039,5609669,15706842908,994313585594,986046355356,172468491632,422587958675,31332783595,15747633603,0,241534040848,513252957694,471236890047,479075876383,21268357316,19307259374,1961097942,510610052570,336713,510610268535,455873,17368738906,989686144918,21295796384,19307715247,1961097942,110013820716,1228,172468491632,172468491632,172468491632,0,0,512949528986,156099.246000
floyd-warshall,-D N=2800,1405576924,138937,1376555548,37999,1404332764,1376593547,212533,185,0,21932786,53670,4034509585,4865,13712191,1362881356,51542,22008095597,21954155693,7836637,7853974,22000243253,864828593960,855797129289,88101869116,395096636194,43927043487,22012702460,0,209818555742,443255796189,465083317119,466488894043,4034514450,4034509585,4865,439822851199,234380,439822990136,272379,2659343513,906311884179,4035937060,4034781964,4865,88163088261,0,88101869116,88101869116,88101869116,0,0,442965829851,134354.520000
floyd-warshall,-D N=3111,1945463425,167435,1887080958,44030,1947009648,1887124988,261185,312,0,30067916,71192,5643063485,6406,15664156,1871460832,72470,30184503245,30133056053,9678673,9735528,30174775275,1185782175592,1173063245742,120899494269,541790502058,60253466039,30204206493,0,286883574104,606658000345,637657969886,639603433311,5643069891,5643063485,6406,602265726924,289669,602265894359,333699,3755405753,1241869327670,5642530741,5643397184,6406,120979229018,0,120899494269,120899494269,120899494269,0,0,606441531231,183846.066000
floyd-warshall,-D N=3422,2599160208,244258,2512328783,50433,2599822222,2512379216,406598,406,0,40107391,94304,7555685583,8027,19720186,2492659030,98170,40156427685,40092855391,11713225,11752991,40144680662,1578518410767,1562087696650,160861843715,720922238071,80155259987,40191828509,0,380931482631,806588977688,848782165913,851381326121,7555693610,7555685583,8027,800443030547,456561,800443274805,506994,5044352749,1651824600926,7556731965,7556192577,8027,160962208595,0,160861843715,160861843715,160861843715,0,0,806262465638,244360.629000
floyd-warshall,-D N=3733,
