alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
jacobi-2d,-D TSTEPS=40 -D N=90,70439,32,2812,57,0,2869,0,0,0,0,0,0,0,2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70439,0,0,0,0,-32,-57,0,0,-2869,0,0,0,0,0,0,0,0,0,0,0,0,6.495000
jacobi-2d,-D TSTEPS=46 -D N=107,98321,23,216,59,0,275,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98321,0,0,0,0,-23,-59,0,0,-275,0,0,0,0,0,0,0,0,0,0,0,0,10.286000
jacobi-2d,-D TSTEPS=53 -D N=125,13669,33,22,0,418824,22,173,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13669,0,0,0,0,-33,0,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,16.392000
jacobi-2d,-D TSTEPS=60 -D N=143,18316,66,85,15,612320,100,99,13,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18316,0,0,0,0,-66,-15,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,23.866000
jacobi-2d,-D TSTEPS=66 -D N=161,1266,62,894,4,865613,898,121,0,0,1732,224,1928344,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1266,0,1928344,1928344,0,-62,-4,0,0,-898,0,0,1928344,0,0,0,0,0,0,0,0,0,33.346000
jacobi-2d,-D TSTEPS=73 -D N=178,12368,31,939,5,1202747,944,186,31,0,2859,33,2616555,578688,-562800,563744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12368,0,3195243,2616555,578688,-31,-5,0,0,-944,0,0,2616555,578688,0,0,0,0,0,0,0,0,44.774000
jacobi-2d,-D TSTEPS=80 -D N=196,17114,26,303,0,1564131,303,212,0,0,2293,29,3569267,778140,-760014,760317,47,6108719,6056156,33282,0,6108719,0,0,0,0,0,0,0,0,0,-17114,0,4347407,3569267,778140,-26,0,0,0,-303,0,0,3569267,778140,0,0,0,0,0,0,0,0,58.441000
jacobi-2d,-D TSTEPS=86 -D N=214,76480,74,254,9,1969432,263,366,18,0,6037,74,4467112,987942,-984572,984835,37,7934251,7903361,37121,37115,7897176,495922662,490052822,0,0,0,0,0,0,0,-76480,0,5455054,4467112,987942,-74,-9,0,0,-263,0,0,4467112,987942,0,0,0,0,0,0,0,0,75.943000
jacobi-2d,-D TSTEPS=93 -D N=232,85813,27,11901,11,2513629,11912,323,0,0,8434,46,5717883,1249027,-1232724,1244636,46,10026745,9984948,43191,43214,9983485,630811351,623898817,109113610,267644099,19732338,9750913,0,0,0,-85813,0,6966910,5717883,1249027,-27,-11,0,0,-11912,0,0,5717883,1249027,0,0,109113610,109113610,109113610,0,0,0,94.329000
jacobi-2d,-D TSTEPS=100 -D N=250,32950,66,2375,0,3128624,2375,381,0,0,27327,341,7157513,1566956,-1554420,1556795,73,12557885,12519012,50207,50283,12507605,791396785,783066471,137049465,335781959,24970302,12623109,0,171930780,388987573,381745682,381778632,8724469,7157513,1566956,387380106,1697,387380172,1697,8478534,769158804,8480909,7159210,1566956,0,0,137049465,137049465,137049465,0,0,0,119.345000
floyd-warshall,-D N=180,8723,51,17,0,360052,17,89,0,0,315,98,861182,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8723,0,861182,861182,0,-51,0,0,0,-17,0,0,861182,0,0,0,0,0,0,0,0,0,35.850000
floyd-warshall,-D N=215,35733,51,90,0,611673,90,59,0,0,744,14,1553292,0,-608899,608989,14,10077046,10008219,56943,0,10077046,0,0,0,0,0,0,0,0,0,-35733,0,1553292,1553292,0,-51,0,0,0,-90,0,0,1553292,0,0,0,0,0,0,0,0,0,60.613000
floyd-warshall,-D N=251,7908,53,662,0,995237,662,118,0,0,2403,62,2226363,0,-973453,974115,85,16251626,16161038,63768,63352,16188277,628127527,618753118,63821023,285607760,31835883,15942229,0,0,0,-7908,0,2226363,2226363,0,-53,0,0,0,-662,0,0,2226363,0,0,0,63821023,63821023,63821023,0,0,0,96.212000
floyd-warshall,-D N=286,1418555,51,2316,0,1447655,2316,419,0,0,10135,140,3764119,0,-1429776,1432092,34,23609927,23505154,82104,82275,23527789,926383883,913232361,94329199,422253986,47073639,23738074,0,212177297,463396710,498305347,499723902,3764119,3764119,0,460199893,209,460199944,209,3772191,959923846,3774507,3764328,0,94424437,0,94329199,94329199,94329199,0,0,459449191,141.554000
floyd-warshall,-D N=322,2067645,834,51054,55,2079478,51109,680,60,0,20578,519,4789796,26,-1987864,2038973,146,33765654,35220069,108818,109656,33656090,1386787210,1362781237,140375596,625177654,69834065,34021003,0,309575336,665912003,710677557,712745202,4789822,4789796,26,659967843,795,659968677,850,4965248,1372713879,5016357,4790646,26,134216263,0,140375596,140375596,140375596,0,0,660226785,203.258000
floyd-warshall,-D N=357,2845453,1025,3889,0,2861931,3889,639,0,0,13696,161,7555885,34,-2806279,2810168,227,46119434,44912660,125221,128818,45990570,1807229057,1782463525,184063447,823667111,91781439,46259373,0,414023379,903902646,971088936,973934389,7555919,7555885,34,896890567,579,896891592,579,7395573,1870825981,7399462,7556464,34,183122942,0,184063447,184063447,184063447,0,0,911792691,275.370000
floyd-warshall,-D N=393,3771447,838,36269,15,3784825,36284,456,0,0,19372,158,10016579,15,-3700143,3736427,105,61137785,60839748,154566,155310,60982478,2392980137,2360589983,243146218,1091937497,121904328,61413461,0,551125190,1202083829,1292543632,1296315079,10016594,10016579,15,1190377968,718,1190378806,733,9980004,2486693885,10016288,10017312,15,244743737,0,243146218,243146218,243146218,0,0,1201178795,365.701000
floyd-warshall,-D N=428,4860032,793,10675,0,4883496,10675,365,81,0,23332,136,13166214,0,-4837917,4848592,116,79064326,78899905,183779,183808,78880451,3101976309,3058631014,315427895,1412221331,157321656,79182734,0,711143519,1550039149,1666844295,1671704327,13166214,13166214,0,1539197798,545,1539198591,545,12981185,3210902918,12991860,13166759,0,316095299,0,315427895,315427895,315427895,0,0,1549650098,471.197000
floyd-warshall,-D N=464,6170590,1100,69147,412,6233658,69559,1473,0,0,48451,560,16667213,0,-6102618,6172177,242,100742104,100550416,216431,216471,100525783,3961082444,3908930209,403130742,1802319143,200128056,100816527,0,903749156,1964139873,2113019572,2119190162,16667213,16667213,0,1958292516,576,1958293616,988,15812432,4077483778,15881991,16668201,0,402989228,0,403130742,403130742,403130742,0,0,1973496308,601.688000
floyd-warshall,-D N=500,7759051,1192,2491,0,7793134,2491,707,0,0,60201,223,20256807,37,-7728281,7730772,186,125768400,125560486,250507,250488,125517807,4939840201,4876925012,502663416,2250857461,250597403,126034533,0,1132078568,2467502288,2655020245,2662779296,20256844,20256807,37,2450448020,874,2450449212,874,20754341,5113228508,20756832,20257681,37,503248383,0,502663416,502663416,502663416,0,0,2465855555,749.134000
